"","Country","Population","Cases","Rate","Region"
"1","Afghanistan",38928341,51280,1317.29220107274,"Asia & Pacific"
"2","Albania",2877800,56572,19658.0721384391,"Europe"
"3","Algeria",43851043,98631,2249.22814264646,"Africa"
"4","Andorra",77265,7875,101921.956901572,"Europe"
"5","Angola",32866268,17296,526.253847866147,"Africa"
"6","Antigua and Barbuda",97928,158,1613.43027530431,"Latin America/Caribbean"
"7","Argentina",45195777,1590513,35191.6286337991,"Latin America/Caribbean"
"8","Armenia",2963234,157948,53302.5741470299,"Europe"
"9","Austria",9006400,353484,39248.0902469355,"Europe"
"10","Azerbaijan",10139175,215483,21252.5180796268,"Asia & Pacific"
"11","Bahamas",393248,7834,19921.2710554154,"Latin America/Caribbean"
"12","Bahrain",1701583,91935,54029.1011370001,"Asia & Pacific"
"13","Bangladesh",164689383,510080,3097.22454907734,"Asia & Pacific"
"14","Barbados",287371,365,1270.13512149799,"Latin America/Caribbean"
"15","Belarus",9449321,188588,19957.8361238866,"Europe"
"16","Belgium",11589616,639734,55198.8952869534,"Europe"
"17","Belize",397621,10591,26635.9171170537,"Latin America/Caribbean"
"18","Benin",12123198,3205,264.369187074236,"Africa"
"19","Bhutan",771612,623,807.400610669611,"Asia & Pacific"
"20","Bolivia",11673029,155594,13329.3595004347,"Latin America/Caribbean"
"21","Bosnia and Herzegovina",3280815,109911,33501.1270065517,"Europe"
"22","Botswana",2351625,14025,5963.96109073513,"Africa"
"23","Brazil",212559409,7504833,35306.9903388751,"Latin America/Caribbean"
"24","Brunei",437483,152,347.442072034799,"Asia & Pacific"
"25","Bulgaria",6948445,198053,28503.2118697061,"Europe"
"26","Burkina Faso",20903278,6344,303.493069364527,"Africa"
"27","Burma",54409794,122534,2252.0577820971,"Asia & Pacific"
"28","Burundi",11890781,804,67.615407263829,"Africa"
"29","Cabo Verde",555988,11723,21084.9874457722,"Africa"
"30","Cambodia",16718971,364,21.7716748237676,"Asia & Pacific"
"31","Cameroon",26545864,26277,989.871717869119,"Africa"
"32","Central African Republic",4829764,4948,1024.48069926398,"Africa"
"33","Chad",16425859,2015,122.672427664209,"Africa"
"34","Chile",19116209,602028,31493.064341366,"Latin America/Caribbean"
"35","Colombia",50882884,1603807,31519.5773887345,"Latin America/Caribbean"
"36","Congo (Brazzaville)",5518092,6908,1251.88199109402,"Africa"
"37","Congo (Kinshasa)",89561404,16917,188.887168405712,"Africa"
"38","Costa Rica",5094114,165762,32539.9078230287,"Latin America/Caribbean"
"39","Cote d'Ivoire",26378275,22176,840.69181930964,"Africa"
"40","Croatia",4105268,205246,49995.7615434607,"Europe"
"41","Cuba",11326616,11434,1009.48067807719,"Latin America/Caribbean"
"42","Cyprus",1207361,20408,16902.9809642684,"Europe"
"43","Czechia",10708982,674340,62969.570777129,"Europe"
"44","Denmark",5792203,156434,27007.6860220541,"Europe"
"45","Diamond Princess",0,712,Inf,"Cruise ship"
"46","Djibouti",988002,5813,5883.59132876249,"Africa"
"47","Dominica",71991,88,1222.37501909961,"Latin America/Caribbean"
"48","Dominican Republic",10847904,167405,15432.0134101482,"Latin America/Caribbean"
"49","Ecuador",17643060,209758,11888.9807096955,"Latin America/Caribbean"
"50","Egypt",102334403,133900,1308.45537839313,"Middle east"
"51","El Salvador",6486201,45415,7001.78733283165,"Latin America/Caribbean"
